Name,GSAA_Quality1,GSAA_Quality2,GSAA_Quality3,GSAA_Quality4,GSAA_Quality5,GSAA_Quality6,GSAA_Quality7,GSAA_Quality8,GSAA_Quality9,GSAA,Team,GP,Cap,VPM
Ilya Sorokin,0.0108,6.0557,12.1053,4.9839,8.3525,-4.3212,8.0634,1.1224,4.885,41.2578,NYI,62,4000000.0,11.281872
Filip Gustavsson,0.6696,6.1787,11.3,1.9935,5.0108,0.7626,-0.6029,-2.0204,2.0514,25.3433,MIN,39,787500.0,9.837266999999999
Alexandar Georgiev,1.1395,0.952,5.895,-4.3847,3.986,8.9534,-3.4872,1.9592,7.6157,22.6289,COL,62,3400000.0,7.812936000000001
Stuart Skinner,0.9013,2.7257,-5.3863,6.0896,-1.5301,3.9738,1.134,0.4694,2.2375,10.6149,EDM,50,750000.0,7.795076
Juuse Saros,0.9657,4.0368,10.5064,5.8395,3.2921,5.0313,2.7942,0.7959,-1.1952,32.0667,NSH,64,5000000.0,7.666008
Jeremy Swayman,0.5086,2.2071,-1.3083,1.1185,3.3204,2.4552,7.5347,-0.1837,1.4841,17.1366,BOS,37,925000.0,7.3780339999999995
Linus Ullmark,-0.0214,2.8672,16.3031,6.0992,2.7404,6.8529,6.553,0.8163,-3.3813,38.8294,BOS,49,5000000.0,7.339056000000001
Ilya Samsonov,0.7983,1.8107,-3.1174,-1.5962,2.0286,6.8958,7.5347,0.1429,4.6445,19.1419,TOR,42,1800000.0,7.048055999999999
Jake Oettinger,1.2104,6.6029,5.3966,2.4165,2.5056,4.3918,0.9075,-0.0204,-0.5447,22.8662,DAL,62,4000000.0,6.867888000000001
Connor Hellebuyck,0.1331,4.6973,15.3997,1.6793,5.0821,3.7567,-3.7746,1.1224,3.59,31.686,WPG,64,6166666.0,5.626307779999999
Joonas Korpisalo,-0.3691,6.8956,-4.2016,0.5191,-3.3166,8.8733,2.5469,0.1429,-0.6536,10.4369,LAK,39,1300000.0,5.403856000000001
Igor Shesterkin,-1.1373,2.5087,7.3579,1.0063,-3.4161,8.5353,9.9196,-0.7143,0.8593,24.9194,NYR,58,5666667.0,4.057322109999999
Sam Montembeault,-0.3819,3.8862,1.6106,1.2467,1.8365,-1.5324,-5.9549,-0.0204,0.6989,1.3893,MTL,40,1000000.0,3.8634320000000004
Logan Thompson,-2.2854,-1.0855,3.5882,0.298,0.6656,-5.4465,6.8039,-1.2041,-0.8139,0.5203,VGK,37,766667.0,3.6545381100000007
Pyotr Kochetkov,-1.5236,0.7733,2.6986,-0.8718,-3.0248,2.5637,4.81,0.1633,1.9168,7.5055,CAR,24,842500.0,3.5143449999999996
Pheonix Copley,0.7017,-1.7646,-4.4636,1.1506,0.9361,1.158,0.5347,0.4694,0.7277,-0.55,LAK,37,825000.0,3.300250000000001
Vitek Vanecek,1.1331,2.2163,2.6268,3.8044,1.6621,-4.6861,2.5652,-0.1837,-1.3268,7.8113,NJD,52,3400000.0,2.9567120000000005
Casey DeSmith,-1.5043,0.0373,5.0055,-3.2917,5.8756,-0.4013,-6.5785,0.4898,3.3207,2.9531,PIT,38,1800000.0,2.642744000000001
Alex Lyon,-0.7554,-0.1984,0.1971,1.1698,2.42,2.2768,1.0792,0.4898,0.8623,7.5412,DET,15,750000.0,2.507388
Scott Wedgewood,0.3026,-0.7833,2.8378,-2.6507,0.3809,0.9694,3.2107,0.3061,0.5386,5.1121,DAL,21,1000000.0,2.286904
Akira Schmid,0.2897,1.8394,3.8864,-0.0513,1.2278,-1.0859,-0.5262,0.0,0.0,5.5799,NJD,18,850833.0,2.25828489
