Round,Num.,Drafted By,Player,Pos,Drafted From,GP,G,A,Pts,PIM,Last Season
1,1,Toronto,Auston Matthews,C,Zurich SC [Swiss-A],482,302,243,545,94,2023-24
1,2,Winnipeg,Patrik Laine,L,Tappara Tampere [SM-liiga],463,199,181,380,179,2023-24
1,3,Columbus,Pierre-Luc Dubois,C,Cape Breton Screaming Eagles [QMJHL],435,129,173,302,385,2023-24
1,4,Edmonton,Jesse Puljujarvi,R,Karpat [SM-liiga],334,51,63,114,108,2022-23
1,5,Vancouver,Olli Juolevi,D,London Knights [OHL],41,2,1,3,6,2021-22
1,6,Calgary,Matthew Tkachuk,L,London Knights [OHL],511,192,299,491,548,2023-24
1,7,Arizona,Clayton Keller,R,U.S. National Development Team [USHL],443,133,211,344,171,2023-24
1,8,Buffalo,Alexander Nylander,L,Mississauga Steelheads [OHL],93,14,20,34,20,2022-23
1,9,Montreal,Mikhail Sergachev,D,Windsor Spitfires [OHL],442,46,193,239,268,2023-24
1,10,Colorado,Tyson Jost,C,Penticton Vees [BCHL],413,54,80,134,154,2022-23
1,11,Ottawa,Logan Brown,C,Windsor Spitfires [OHL],99,7,19,26,22,2022-23
1,12,New Jersey,Michael McLeod,C,Mississauga Steelheads [OHL],244,19,47,66,154,2023-24
1,13,Carolina,Jake Bean,D,Calgary Hitmen [WHL],126,10,34,44,44,2023-24
1,14,Boston,Charlie McAvoy,D,Boston University [H-East],381,41,189,230,297,2023-24
1,15,Minnesota,Luke Kunin,C,U. of Wisconsin [Big-10],283,51,55,106,249,2023-24
1,16,Arizona,Jakob Chychrun,D,Sarnia Sting [OHL],386,62,113,175,248,2023-24
1,17,Nashville,Dante Fabbro,D,Penticton Vees [BCHL],254,13,46,59,135,2023-24
1,18,Winnipeg,Logan Stanley,D,Windsor Spitfires [OHL],114,3,17,20,91,2022-23
1,19,NY Islanders,Kieffer Bellows,L,U.S. National Development Team [USHL],95,14,14,28,31,2022-23
1,20,Detroit,Dennis Cholowski,D,Chilliwack Chiefs [BCHL],117,10,20,30,28,2022-23
1,21,Carolina,Julien Gauthier,R,Val d'Or Foreurs [QMJHL],153,14,18,32,36,2022-23
1,22,Philadelphia,German Rubtsov,C,Russia U-18 team,4,0,0,0,0,2019-20
1,23,Florida,Henrik Borgstrom,C,HIFK Juniors (Finland),111,13,13,26,28,2022-23
1,24,Anaheim,Max Jones,L,London Knights [OHL],206,26,21,47,178,2022-23
1,25,Dallas,Riley Tufte,L,Fargo Force [USHL],13,1,0,1,4,2022-23
1,26,St. Louis,Tage Thompson,C,U. of Connecticut [H-East],302,103,94,197,125,2023-24
1,27,Tampa Bay,Brett Howden,C,Moose Jaw Warriors [WHL],280,31,52,83,135,2023-24
1,28,Washington,Lucas Johansen,D,Kelowna Rockets [WHL],4,0,1,1,0,2023-24
1,29,Boston,Trent Frederic,C,U.S. National Development Team [USHL],199,30,25,55,194,2023-24
1,30,Anaheim,Sam Steel,C,Regina Pats [WHL],263,34,59,93,70,2023-24
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2,31,Toronto,Egor Korshkov,L,Yaroslavl Lokomotiv [KHL],1,1,0,1,0,2019-20
2,32,Edmonton,Tyler Benson,L,Vancouver Giants [WHL],38,1,2,3,18,2022-23
2,33,Buffalo,Rasmus Asplund,C,Farjestads BK Karlstad [SweHL],183,18,31,49,20,2022-23
2,34,Columbus,Andrew Peeke,D,Green Bay Gamblers [USHL],196,9,25,34,90,2023-24
2,35,St. Louis,Jordan Kyrou,C,Sarnia Sting [OHL],253,83,112,195,66,2023-24
2,36,Philadelphia,Pascal Laberge,C,Victoriaville Tigres [QMJHL],,,,,,
2,37,Tampa Bay,Libor Hajek,D,Saskatoon Blades [WHL],110,4,8,12,40,2022-23
2,38,Florida,Adam Mascherin,L,Kitchener Rangers [OHL],,,,,,
2,39,Chicago,Alex DeBrincat,R,Erie Otters [OHL],451,188,186,374,112,2023-24
2,40,Colorado,Cameron Morrison,L,Youngstown Phantoms [USHL],,,,,,
2,41,New Jersey,Nathan Bastian,R,Mississauga Steelheads [OHL],164,24,22,46,127,2023-24
2,42,Ottawa,Jonathan Dahlen,C,Timra IK [Swe-1],61,12,10,22,12,2021-22
2,43,Carolina,Janne Kuokkanen,C,Karpat Jrs (Finland),119,14,28,42,28,2021-22
2,44,Tampa Bay,Boris Katchouk,L,Soo Greyhounds [OHL],119,8,15,23,66,2023-24
2,45,Chicago,Chad Krys,D,U.S. National Development Team [USHL],,,,,,
2,46,Detroit,Givani Smith,R,Guelph Storm [OHL],120,8,10,18,210,2023-24
2,47,Nashville,Samuel Girard,D,Shawinigan Cataractes [QMJHL],417,28,153,181,83,2023-24
2,48,Philadelphia,Carter Hart,G,Everett Silvertips [WHL],202,0,2,2,2,2023-24
2,49,Boston,Ryan Lindgren,D,U.S. National Development Team [USHL],258,7,56,63,183,2023-24
2,50,Chicago,Artur Kayumov,L,Russia U-18 Team,,,,,,
2,51,Los Angeles,Kale Clague,D,Brandon Wheat Kings [WHL],91,2,18,20,50,2022-23
2,52,Philadelphia,Wade Allison,R,Tri-City Storm [USHL],75,13,9,22,40,2022-23
2,53,Detroit,Filip Hronek,D,Hradec Kralove [Czech],310,30,129,159,162,2023-24
2,54,Calgary,Tyler Parsons,G,London Knights [OHL],,,,,,
2,55,Pittsburgh,Filip Gustavsson,G,Lulea HF [SweHL],67,0,1,1,0,2023-24
2,56,Calgary,Dillon Dube,C,Kelowna Rockets [WHL],283,54,66,120,99,2023-24
2,57,Toronto,Carl Grundstrom,R,MODO Hockey Ornskoldsvik [SweHL],187,33,23,56,74,2023-24
2,58,Tampa Bay,Taylor Raddysh,R,Erie Otters [OHL],154,31,28,59,26,2023-24
2,59,St. Louis,Evan Fitzpatrick,G,Sherbrooke Phoenix [QMJHL],,,,,,
2,60,San Jose,Dylan Gambrell,C,U. of Denver [NCHC],233,17,23,40,79,2022-23
2,61,Pittsburgh,Kasper Bjorkqvist,R,Blues Jrs (Finland),6,1,0,1,2,2021-22
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3,62,Toronto,Joseph Woll,G,U.S. National Development Team [USHL],11,0,0,0,2,2022-23
3,63,Edmonton,Markus Niemelainen,D,Saginaw Spirit [OHL],43,0,1,1,8,2022-23
3,64,Vancouver,William Lockwood,R,U.S. National Development Team [USHL],28,0,1,1,11,2022-23
3,65,Columbus,Vitaly Abramov,L,Gatineau Olympiques [QMJHL],5,1,0,1,2,2020-21
3,66,Calgary,Adam Fox,D,U.S. National Development Team [USHL],286,36,200,236,106,2023-24
3,67,Carolina,Matt Filipe,L,Cedar Rapids RoughRiders [USHL],,,,,,
3,68,Arizona,Cam Dineen,D,North Bay Battalion [OHL],34,0,7,7,4,2021-22
3,69,Buffalo,Cliff Pu,R,London Knights [OHL],,,,,,
3,70,Montreal,Will Bitten,C,Flint Firebirds [OHL],4,0,1,1,0,2022-23
3,71,Colorado,Josh Anderson,D,Prince George Cougars [WHL],,,,,,
3,72,Toronto,J.D. Greenway,D,U.S. National Development Team [USHL],,,,,,
3,73,New Jersey,Joey Anderson,R,U.S. National Development Team [USHL],96,14,8,22,10,2022-23
3,74,Carolina,Hudson Elynuik,C,Spokane Chiefs [WHL],,,,,,
3,75,Carolina,Jack LaFontaine,G,Janesville Jets [NAHL],2,0,0,0,0,2021-22
3,76,Nashville,Rem Pitlick,C,Muskegon Lumberjacks [USHL],123,21,33,54,52,2022-23
3,77,Pittsburgh,Connor Hall,D,Kitchener Rangers [OHL],,,,,,
3,78,Nashville,Frederic Allard,D,Chicoutimi Sagueneens [QMJHL],4,0,0,0,0,2022-23
3,79,Winnipeg,Luke Green,D,Saint John Sea Dogs [QMJHL],,,,,,
3,80,New Jersey,Brandon Gignac,C,Shawinigan Cataractes [QMJHL],1,0,0,0,0,2018-19
3,81,NY Rangers,Sean Day,D,Mississauga Steelheads [OHL],2,0,0,0,0,2021-22
3,82,Philadelphia,Carsen Twarynski,L,Calgary Hitmen [WHL],22,1,0,1,6,2020-21
3,83,Chicago,Wouter Peeters,G,Salzburg Jrs (Austria),,,,,,
3,84,Edmonton,Matthew Cairns,D,Georgetown Raiders [OJHL],,,,,,
3,85,Anaheim,Josh Mahura,D,Red Deer Rebels [WHL],162,10,26,36,72,2023-24
3,86,Buffalo,Casey Fitzgerald,D,Boston College [H-East],63,0,9,9,40,2022-23
3,87,Washington,Garrett Pilon,C,Kamloops Blazers [WHL],3,1,0,1,0,2021-22
3,88,Tampa Bay,Connor Ingram,G,Kamloops Blazers [WHL],30,0,0,0,2,2022-23
3,89,Florida,Linus Nassen,D,Lulea HF [SweHL],,,,,,
3,90,Dallas,Fredrik Karlstrom,C,AIK Jrs (Sweden),8,0,1,1,0,2022-23
3,91,Edmonton,Filip Berglund,D,Skelleftea Jrs (Sweden),,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4,92,Toronto,Adam Brooks,C,Regina Pats [WHL],43,6,5,11,2,2021-22
4,93,Anaheim,Jack Kopacka,L,Soo Greyhounds [OHL],,,,,,
4,94,Florida,Jonathan Ang,C,Peterborough Petes [OHL],,,,,,
4,95,NY Islanders,Anatoly Golyshev,L,Yekaterinburg Automobilist [KHL],,,,,,
4,96,Calgary,Linus Lindstrom,C,Skeleftea Jrs (Sweden),,,,,,
4,97,Winnipeg,Jacob Cederholm,D,HV71 Jrs (Sweden),,,,,,
4,98,NY Rangers,Tarmo Reunanen,D,TPS Jrs (Finland),4,0,1,1,0,2020-21
4,99,Buffalo,Brett Murray,L,Carleton Place Canadians [CCHL],21,2,4,6,23,2021-22
4,100,Montreal,Victor Mete,D,London Knights [OHL],247,5,40,45,46,2022-23
4,101,Toronto,Keaton Middleton,D,Saginaw Spirit [OHL],3,0,0,0,4,2020-21
4,102,New Jersey,Mikhail Maltsev,L,Russia U-18 Team,56,6,3,9,6,2022-23
4,103,Ottawa,Todd Burgess,R,Fairbanks Ice Dogs [NAHL],,,,,,
4,104,Carolina,Max Zimmer,L,Chicago Steel [USHL],,,,,,
4,105,New Jersey,Evan Cormier,G,Saginaw Spirit [OHL],,,,,,
4,106,Minnesota,Brandon Duhaime,R,Tri-City Storm [USHL],132,15,12,27,164,2023-24
4,107,Detroit,Alfons Malmstrom,D,Orebro Jrs (Sweden),,,,,,
4,108,Nashville,Hardy Haman-Aktell,D,Skelleftea Jrs (Sweden),,,,,,
4,109,Philadelphia,Connor Bunnaman,C,Kitchener Rangers [OHL],54,1,2,3,8,2021-22
4,110,Chicago,Lucas Carlsson,D,Brynas IF Gavle [SweHL],60,3,8,11,14,2022-23
4,111,San Jose,Noah Gregor,C,Moose Jaw Warriors [WHL],179,27,25,52,71,2023-24
4,112,Los Angeles,Jacob Moverare,D,HV71 Jrs (Sweden),21,0,2,2,2,2022-23
4,113,Chicago,Nathan Noel,C,Saint John Sea Dogs [QMJHL],,,,,,
4,114,Florida,Riley Stillman,D,Oshawa Generals [OHL],158,4,22,26,104,2022-23
4,115,Anaheim,Alex Dostie,C,Gatineau Olympiques [QMJHL],,,,,,
4,116,Dallas,Rhett Gardner,C,U. of North Dakota [NCHC],40,1,1,2,10,2021-22
4,117,Washington,Damien Riat,R,Geneve Servette [Swiss-A],,,,,,
4,118,Tampa Bay,Ross Colton,C,Cedar Rapids RoughRiders [USHL],191,47,37,84,90,2023-24
4,119,St. Louis,Tanner Kaspick,C,Brandon Wheat Kings [WHL],,,,,,
4,120,NY Islanders,Otto Koivula,L,Ilves Jrs (Finland),28,0,4,4,6,2022-23
4,121,Pittsburgh,Ryan Jones,D,Lincoln Stars [USHL],,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
5,122,Toronto,Vladimir Bobylev,L,Victoria Royals [WHL],,,,,,
5,123,Edmonton,Dylan Wells,G,Peterborough Petes [OHL],1,0,0,0,0,2022-23
5,124,Montreal,Casey Staum,D,Grand Rapids (Minn. H.S.),,,,,,
5,125,St. Louis,Nolan Stevens,C,Northeastern University [H-East],,,,,,
5,126,Calgary,Mitchell Mattson,C,Bloomington Thunder [USHL],,,,,,
